name,slug,chains,contract_addresses,kyc_status,kyc_date,audit_status,audit_date,audit_score,verification_tier,renounced,kyc_certificate_urls,audit_report_urls,audit_certificate_urls
Canaboyz,canaboyz,BSC,0x8a9b4575528f9a9a867d36905034a9d4b66d3e95,rejected,2023-04-08,none,,,rejected,no,,,
Nodez,nodez,Ethereum,0x3b24ed67481a80609af2f8913a45da2049547cfd,approved,2024-08-30,completed,2024-09-26,100,full,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Nodez%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/ASSUREDEFI_Nodez_NODE_TOKEN_Audit_Final_09_26_2024.pdf https://github.com/Assure-DeFi/Audits/blob/main/ASSUREDEFI_Nodez_TOKEN_Audit%20_09_26_2024.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Audit_Certificate_Nodez_09_26_2024.png
Hackers Game,hackers-game,,,approved,2022-04-22,none,,,kyc-only,no,,,
DAIS,dais,,0xbf46c1d393763a6731f75d86d801150c49ef8d22,approved,2023-04-07,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/DAIS%20KYC%20Certificate.png,,
Fantom DAO,fantom-dao,,,approved,2021-01-01,none,,,kyc-only,no,,,
Gem Nodes,gem-nodes,,,approved,2021-01-01,none,,,kyc-only,no,,,
Adamant Coin,adamant-coin,,0xf978baa68aee5cd5425187bce97f75c2817e6892,approved,2021-01-01,none,,,kyc-only,no,,,
Lens Ai,lens-ai,Ethereum,,approved,2024-10-10,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Lens%20Ai%20KYC%20Certificate.gif,,
DOPE,dope,,,approved,2022-11-19,none,,,kyc-only,no,,,
ShibaPunkz,shibapunkz,Shibarium,0xd1509c2aa2411b993de76d65523f8af96f86c943,approved,2023-10-25,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/ShibaPunkz%20KYC%20Certificate.png,,
Prekog,prekog,Solana,token contract address has not been deployed yet. the contract address will be available soon.,approved,2026-01-16,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Prekog%20AI%20KYC%20Certificate.png,,
Celestial Finance,celestial-finance,,,approved,2021-01-01,none,,,kyc-only,no,,,
Global Market Token,global-market-token,,0x209e0166740d76306d9ff0881a39dcc41fd4067e,approved,2023-01-06,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Global%20Market%20Token%20KYC%20Certificate.png,,
BitEstate,bitestate,Ethereum,0x79743257af19450d9dbf0cf5b634ff7c1e8ba4c9,approved,2024-02-27,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/BitEstate%20KYC%20Certificate.png,,
Neuraswap,neuraswap,Ethereum,0xaaaa5b1d957ec72f7b2b80b93068b93311deb2fe,approved,2025-01-12,completed,,,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Neuraswap%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/NEURASWAP_TOKEN_01_12_24.pdf,
SAFE AI,safe-ai,Ethereum,,approved,2024-05-16,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SAFE%20AI%20KYC%20Certificate.png,,
Soyjak AI,soyjak-ai,,0x4f36a87e200eda12c6409f3caf5fee1364476be6,approved,2024-11-24,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Soyjak%20AI%20KYC%20Certificate.png,,
PlutoChain,pluto-chain,Ethereum,0x1f385578266496cd4a4c435a6bb2a60b9bd9ceef,none,2024-12-02,completed,,,audit-only,no,,,
EchoMetrix,echometrix,Ethereum,0xa1ecd506d5b178d7220fe175013ffa43ccad9610,approved,2025-06-26,completed,,,full,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/EchoMetrix%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/EchoMetrix_ADV2_06_28_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/EchoMetrix_ADV_06_28_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/EchoMetrix_ADV_06_28_25.png
OnChainToolKit,onchaintoolkit,Ethereum,,approved,2024-02-22,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/OnChainToolKit%20KYC%20Certificate.png,,
Battle.Fish,battle-fish,,0xa48f7a48bdaff54587a1c4e4b2f35459a2328e29,approved,2022-04-29,none,,,kyc-only,no,,,
ordinex,ordinex,,,approved,2023-02-20,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/ordinex%20KYC%20Certificate.png,,
Cubo Protocol,cubo-protocol,,0x381d168de3991c7413d46e3459b48a5221e3dfe4,approved,2021-01-01,none,,,kyc-only,no,,,
Yamp Finance,yamp-finance,,0x87f654c4b347230c60cad8d7ea9cf0d7238bcc79,approved,2021-01-01,none,,,kyc-only,no,,,
FRAKTIA,fraktia,Ethereum,0xcdbdd8a173c385d8a3c8cab7914a99e8c3d9c3a1,none,2025-07-03,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/FRAKTIA_ADV_06_18_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/FRAKTIA_ADV_06_18_25.png
Judgement,judgement,Solana,,approved,2024-09-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Judgement%20KYC%20Certificate.png,,
CYBONK,cybonk,Ethereum,0x9194337c06405623c0f374e63fa1cc94e2788c58,none,,completed,2024-03-06,87,audit-only,yes,,https://github.com/Assure-DeFi/Audits/blob/main/CYBONK_TOKEN_03_05_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/CYBONK_TOKEN_03_05_24.png
BlockDefendAI,blockdefendai,Ethereum,,rejected,2024-03-13,none,,,rejected,no,,,
WenSer?,wenser,BSC,0x3a08e175b2c01450f19db7a2f89d20a1d6975cbe,approved,2023-09-27,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/WenSer%3F%20KYC%20Certificate.png,,
TYRION,tyrion,,0x7ee43f72b5431082993ae81356472afbb42f9dac,approved,2023-05-05,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/TYRION%20KYC%20Certificate.png,,
Strong Inu,strong-inu,,,approved,2021-01-01,none,,,kyc-only,no,,,
Voltaic Finance Systems,voltaic,Solana,fcrsse5ytal8svsdnbxfodexwbv1gbgcjrncf7gte3ut,none,2025-12-29,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/VOLTAIC_ADV_12_29_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/VOLTAIC_ADV_12_27_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/Voltaic_ADV_12_23_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/VOLTAIC_ADV_12_29_25.png
King Finance,king-finance,,,approved,2023-02-06,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/King%20Finance%20KYC%20Certificate.png,,
Innovia Trust,innovia-trust,Ethereum,0x1814b8a33446549ed5766ab3250b670498699bd6,approved,2024-04-24,completed,2024-04-23,85,full,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Innovia%20Trust%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/INNOVIA_TOKEN_04_23_24.pdf,
PulseFinity,pulsefinity,,,approved,2022-09-29,none,,,kyc-only,no,,,
Emerald Nodes,emerald-nodes-kyc,,,approved,2021-01-01,none,,,kyc-only,no,,,
Octaplex Network,octaplex-network,,0x57022edd5c7ed7b6bd870488853fe961dfdd3fb6,approved,2021-01-01,none,,,kyc-only,no,,,
